Доля оборота от 1 до 2;Доля оборота от 2 до 10;Доля оборота от 10 до 50;Доля оборота выше 50;Ключ ставка <1%;Ключ ставка от 1 до 10%;Ключ ставка >10%;Курс к доллару >=1;Курс к доллару от 1 до 0.5;Курс к доллару <0.5
0;0;0;1;1;0;0;1;0;0
0;0;1;0;1;0;0;1;0;0
0;0;1;0;1;0;0;0;0;1
0;0;1;0;1;0;0;1;0;0
0;1;0;0;1;0;0;0;1;0
0;1;0;0;1;0;0;0;1;0
0;1;0;0;1;0;0;1;0;0
0;1;0;0;0;1;0;0;0;1
0;1;0;0;1;0;0;0;0;1
0;1;0;0;0;1;0;0;0;1
0;1;0;0;0;1;0;0;1;0
1;0;0;0;1;0;0;0;1;0
1;0;0;0;1;0;0;0;0;1
1;0;0;0;1;0;0;0;0;1
1;0;0;0;1;0;0;0;0;1
1;0;0;0;0;0;1;0;0;1
1;0;0;0;0;0;1;0;0;1
1;0;0;0;0;0;1;0;0;1
